регистрационный_номер;мера_ДВ;дата_решения;основание_применения;дата_началу_ДВ;дата_окончания_ДВ
16912;Рекомендация об исключении лица из членов саморегулируемой организации, подлежащая рассмотрению коллегиальным органом;16.06.2023;Протокол заседания Дисциплинарного комитета № 2023-Д-01-06Д от 16.06.2023;16.06.2023;
23120;Замечание;25.07.2023;"Протокол Дисциплинарной комиссии Ассоциации СРО ""ОПКД"" № 54Д/07 от 25.07.2023";25.07.2023;
23120;Замечание;24.06.2025;"Протокол Дисциплинарной комиссии Ассоциации СРО ""ОПКД"" от 24.06.2025 № 44д/06";24.06.2025;
23120;Замечание;27.04.2023;"Протокол Дисциплинарной комиссии Ассоциации СРО ""ОПКД"" № 32Д/04 от 27.04.2023";27.04.2023;
23120;Замечание;03.12.2020;Протокол ДК № 62д/12;03.12.2020;03.12.2020
23120;Замечание;10.02.2022;"Протокол Дисциплинарной комиссии Ассоциации СРО ""ОПКД"" № 05Д/02";10.02.2022;10.02.2022
23120;Замечание;06.10.2022;"Протокол Дисциплинарной комиссии Ассоциации СРО ""ОПКД"" №57Д/10 от 06.10.2022";06.10.2022;06.10.2022
32804;предписание устранить нарушение в срок до 11.06.2021г.;12.05.2021;Протокол заседания Дисциплинарного комитета А СРО «ОКИ» № 32-д от 12.05.2021г.;12.05.2021;11.06.2021
32804;предупреждение;28.01.2025;Протокол заседания Дисциплинарного комитета А СРО «ОКИ» № 4-д от 28.01.2025г.;28.01.2025;28.01.2026
28012;Предупреждение;02.02.2018;Внеплановая проверка;02.02.2018;02.02.2018
21857;предупреждение;29.01.2019;нарушение положений ч. 8 ст. 13.1 Федерального закона от 24.07.2002 № 101-ФЗ;29.01.2019;29.01.2019
20497;Замечание;23.01.2024;п. 5, 7 ч. 1 ст. 26 Закона №218-ФЗ, Требования №П/0082, Приказ №П/0163;23.01.2024;23.07.2024
20497;замечание;27.02.2024;решение № 27/2024-ДК;27.02.2024;
20837;Замечание-МДВ погашена Решение № 18ф от 27.06.2023;07.10.2022;"Протокол заседания Отдела дисциплинарной ответственности СРО А КИ ""Содружество"" от 07.10.2022 № 19ф";07.10.2022;
