регистрационный_номер;год;период;решений_об_осуществлении_и_отказе;отказов_по_статье_27;решений_об_устранении_ошибок;решений_о_приостановлении
9624;2014;9;136;1;2;0
9624;2014;12;215;2;2;0
9624;2015;3;57;2;2;0
9624;2015;6;101;2;2;0
9624;2015;9;134;5;2;0
9624;2015;12;200;5;2;0
9624;2016;3;33;0;3;0
9624;2016;6;71;0;3;0
9624;2016;9;119;0;3;0
9624;2016;12;154;0;4;0
9624;2017;3;15;0;4;0
9624;2017;6;48;0;4;0
9624;2017;9;78;0;2;0
9624;2017;12;124;0;2;0
9624;2018;3;6;0;2;0
9624;2018;6;29;0;2;0
9624;2018;9;41;0;2;0
9624;2018;12;41;0;2;0
9624;2019;3;0;0;2;0
9624;2019;6;0;0;1;0
9624;2019;9;12;0;1;0
9624;2019;12;24;0;1;2
9624;2020;3;7;0;0;1
9624;2020;6;15;0;0;3
9624;2020;9;33;0;0;3
9624;2020;12;52;0;0;3
9624;2021;3;15;0;0;0
9624;2021;6;40;0;0;0
9624;2021;9;67;0;0;0
9624;2021;12;94;0;0;0
9624;2022;3;15;0;0;0
9624;2022;6;46;0;0;1
9624;2022;9;114;0;0;1
9624;2022;12;132;0;0;1
9624;2023;3;9;0;0;0
9624;2023;6;28;0;0;0
9624;2023;9;50;0;0;0
9624;2023;12;66;0;0;0
9624;2024;3;16;0;0;0
9624;2024;6;30;0;0;0
9624;2024;9;61;0;0;0
9624;2024;12;62;0;0;0
9624;2025;3;18;0;0;0
9624;2025;6;28;0;0;0
9624;2025;9;57;0;0;0
9624;2025;12;97;0;0;0
9624;2026;3;18;0;0;0
34341;2015;9;0;0;0;0
34341;2015;12;0;0;0;0
34341;2016;3;4;0;0;0
34341;2016;6;27;5;0;0
34341;2016;9;46;5;0;0
34341;2016;12;76;5;0;0
34341;2017;3;7;1;0;0
34341;2017;6;20;1;0;0
34341;2017;9;35;1;0;0
34341;2017;12;74;1;0;0
34341;2018;3;22;0;0;0
34341;2018;6;40;0;0;0
34341;2018;9;53;0;0;0
34341;2018;12;117;0;0;0
34341;2019;3;24;0;0;0
34341;2019;6;65;0;0;1
34341;2019;9;148;1;0;1
34341;2019;12;178;1;0;1
34341;2020;3;107;0;0;2
34341;2020;6;266;0;0;4
34341;2020;9;280;0;0;4
34341;2020;12;359;0;0;5
34341;2021;3;66;0;0;0
34341;2021;6;183;0;0;1
34341;2021;9;303;0;0;2
34341;2021;12;435;0;0;2
34341;2022;3;70;0;0;1
34341;2022;6;189;0;0;1
34341;2022;9;308;0;0;1
34341;2022;12;439;0;0;1
34341;2023;3;74;0;0;5
34341;2023;6;218;0;0;19
34341;2023;9;406;0;0;27
34341;2023;12;598;0;0;32
34341;2024;3;115;0;0;19
34341;2024;6;285;0;0;31
34341;2024;9;457;0;0;47
34341;2024;12;621;0;0;75
34341;2025;3;104;0;0;18
34341;2025;6;257;0;0;58
34341;2025;9;425;0;0;88
34341;2025;12;571;0;0;119
34341;2026;3;95;0;0;33
39688;2021;3;5;0;0;0
39688;2021;6;11;0;0;0
39688;2021;9;14;0;0;0
39688;2021;12;14;0;0;0
39688;2022;3;0;0;0;0
39688;2022;6;105;0;0;9
39688;2022;12;0;0;0;0
39688;2023;3;0;0;0;0
39688;2023;6;0;0;0;0
39688;2023;9;0;0;0;0
39688;2023;12;11;0;0;0
39688;2024;3;17;0;0;0
39688;2024;6;18;0;0;0
39688;2024;9;21;0;0;0
39688;2024;12;28;0;0;0
39688;2025;3;10;0;0;0
39688;2025;6;27;0;0;1
39688;2025;9;60;0;0;1
39688;2025;12;83;0;0;5
39688;2026;3;25;0;0;0
16912;2014;9;0;0;0;0
16912;2014;12;0;0;0;0
16912;2015;3;0;0;0;0
16912;2015;6;0;0;0;0
16912;2015;9;0;0;0;0
16912;2015;12;0;0;0;0
16912;2016;3;0;0;0;0
16912;2016;6;0;0;0;0
16912;2016;9;0;0;0;0
16912;2016;12;1;0;0;0
16912;2017;3;0;0;0;0
16912;2017;6;0;0;0;0
16912;2017;9;0;0;0;0
16912;2017;12;0;0;0;0
16912;2018;3;0;0;0;0
16912;2018;6;0;0;0;0
16912;2018;9;0;0;0;0
16912;2018;12;0;0;0;0
16912;2019;3;0;0;0;0
16912;2019;6;0;0;0;0
16912;2019;9;0;0;0;0
16912;2019;12;0;0;0;0
16912;2020;3;0;0;0;0
16912;2020;6;0;0;0;0
16912;2020;9;0;0;0;0
16912;2020;12;0;0;0;0
16912;2021;3;0;0;0;0
16912;2021;6;0;0;0;0
16912;2021;9;0;0;0;0
16912;2021;12;0;0;0;1
16912;2022;3;0;0;0;0
16912;2022;6;0;0;0;0
16912;2022;9;0;0;0;1
16912;2022;12;0;0;0;1
16912;2023;3;0;0;0;0
16912;2023;6;0;0;0;0
16912;2023;9;0;0;0;0
16912;2023;12;0;0;0;0
16912;2024;3;0;0;0;0
16912;2024;6;0;0;0;0
16912;2024;9;0;0;0;0
16912;2024;12;0;0;0;0
16912;2025;3;0;0;0;0
16912;2025;6;0;0;0;0
16912;2025;9;0;0;0;0
16912;2025;12;0;0;0;0
16912;2026;3;0;0;0;0
24915;2014;9;0;0;0;0
24915;2014;12;0;0;0;0
24915;2015;3;0;0;0;0
24915;2015;6;0;0;0;0
24915;2015;9;0;0;0;0
24915;2015;12;0;0;0;0
24915;2016;3;5;0;0;0
24915;2016;6;8;0;0;0
24915;2016;9;18;0;0;0
24915;2016;12;33;0;0;0
24915;2017;3;3;0;0;0
24915;2017;6;12;0;0;0
24915;2017;9;18;0;0;0
24915;2017;12;47;0;0;0
24915;2018;3;10;1;0;0
24915;2018;6;11;1;0;0
24915;2018;9;11;1;0;0
24915;2018;12;11;1;0;0
24915;2019;3;10;0;0;3
24915;2019;6;14;0;0;5
24915;2019;9;16;0;0;5
24915;2019;12;20;0;0;6
24915;2020;3;13;0;0;3
24915;2020;6;19;0;0;4
24915;2020;9;29;0;0;10
24915;2020;12;35;0;0;11
24915;2021;3;6;0;0;0
24915;2021;6;17;0;0;0
24915;2021;9;24;0;0;3
24915;2021;12;55;0;0;6
24915;2022;3;21;0;0;0
24915;2022;6;48;0;0;0
24915;2022;9;63;0;0;1
24915;2022;12;95;0;0;1
24915;2023;3;5;0;0;0
24915;2023;6;5;0;0;0
24915;2023;9;12;0;0;1
24915;2023;12;42;0;0;1
24915;2024;3;13;0;0;0
24915;2024;6;17;0;0;0
24915;2024;9;35;0;0;1
24915;2024;12;37;0;0;2
24915;2025;3;2;0;0;0
24915;2025;6;5;0;0;0
24915;2025;9;9;0;0;0
24915;2025;12;12;0;0;0
24915;2026;3;0;0;0;0
33461;2015;3;0;0;0;0
33461;2015;6;0;0;0;0
33461;2015;9;1;0;0;0
33461;2015;12;23;0;0;0
33461;2016;3;12;0;0;0
33461;2016;6;26;0;0;0
33461;2016;9;41;0;0;0
33461;2016;12;58;0;0;0
33461;2017;3;7;0;0;0
33461;2017;6;25;0;0;0
33461;2017;9;64;0;0;0
33461;2017;12;123;0;0;0
33461;2018;3;81;0;0;0
33461;2018;6;115;0;0;0
33461;2018;9;162;0;0;0
33461;2018;12;273;0;0;0
33461;2019;3;472;0;0;0
33461;2019;6;568;0;0;0
33461;2019;9;602;0;0;0
33461;2019;12;677;0;0;0
33461;2020;3;41;0;0;0
33461;2020;6;63;0;0;0
33461;2020;9;104;0;0;0
33461;2020;12;104;0;0;0
33461;2021;3;59;0;0;7
33461;2021;6;122;0;0;21
33461;2021;9;123;0;0;21
33461;2021;12;124;0;0;22
33461;2022;3;50;0;0;1
33461;2022;6;128;0;0;6
33461;2022;9;183;0;0;6
33461;2022;12;313;6;0;8
33461;2023;3;52;0;0;1
33461;2023;6;131;4;0;1
33461;2023;9;235;4;0;3
33461;2023;12;334;4;0;5
33461;2024;3;78;0;0;0
33461;2024;6;96;0;0;1
33461;2024;9;166;0;0;3
33461;2024;12;234;0;0;6
33461;2025;3;44;0;0;3
33461;2025;6;123;0;0;13
33461;2025;9;186;0;0;22
33461;2025;12;258;0;0;32
33461;2026;3;21;0;0;5
23120;2014;9;395;1;0;0
23120;2014;12;518;1;0;0
23120;2015;3;93;1;0;0
23120;2015;6;185;1;0;0
23120;2015;9;286;4;0;0
23120;2015;12;389;5;0;0
23120;2016;3;118;1;0;0
23120;2016;6;257;2;0;0
23120;2016;9;375;2;0;0
23120;2016;12;499;3;0;0
23120;2017;3;58;0;0;0
23120;2017;6;144;0;0;0
23120;2017;9;263;0;0;0
23120;2017;12;483;0;0;0
23120;2018;3;149;0;0;0
23120;2018;6;254;0;0;0
23120;2018;9;327;0;0;0
23120;2018;12;629;0;0;0
23120;2019;3;132;0;0;33
23120;2019;6;237;0;0;48
23120;2019;9;371;0;0;81
23120;2019;12;524;1;0;107
23120;2020;3;82;0;0;24
23120;2020;6;157;0;0;41
23120;2020;9;297;1;0;52
23120;2020;12;491;1;0;90
23120;2021;3;109;0;0;19
23120;2021;6;190;0;0;41
23120;2021;9;289;0;0;57
23120;2021;12;429;1;0;71
23120;2022;3;95;1;0;6
23120;2022;6;203;2;0;11
23120;2022;9;329;2;0;13
23120;2022;12;594;2;0;14
23120;2023;3;244;0;0;3
23120;2023;6;465;2;0;7
23120;2023;9;726;2;0;9
23120;2023;12;1054;2;0;9
23120;2024;3;316;0;0;1
23120;2024;6;510;0;0;1
23120;2024;9;662;0;0;2
23120;2024;12;853;0;0;5
23120;2025;3;152;1;0;0
23120;2025;6;290;1;0;0
23120;2025;9;454;1;0;0
23120;2025;12;679;1;0;0
23120;2026;3;279;0;0;0
4101;2014;9;522;3;0;0
4101;2014;12;759;4;0;0
4101;2015;3;192;1;0;0
4101;2015;6;384;2;0;0
4101;2015;9;494;3;0;0
4101;2015;12;648;6;0;0
4101;2016;3;93;1;0;0
4101;2016;6;240;2;0;0
4101;2016;9;361;2;0;0
4101;2016;12;506;2;0;0
4101;2017;3;150;0;0;0
4101;2017;6;258;0;0;0
4101;2017;9;350;1;0;0
4101;2017;12;494;1;0;0
4101;2018;3;118;0;0;0
4101;2018;6;254;0;0;0
4101;2018;9;491;0;0;0
4101;2018;12;491;0;0;0
4101;2019;3;0;0;0;0
4101;2019;6;85;0;0;0
4101;2019;9;85;0;0;1
4101;2019;12;85;0;0;1
4101;2020;3;0;0;0;1
4101;2020;6;0;0;0;1
4101;2020;9;1;1;0;1
4101;2020;12;1;1;0;1
4101;2021;3;77;0;0;0
4101;2021;6;166;0;0;0
4101;2021;9;281;0;0;0
4101;2021;12;369;0;0;0
4101;2022;3;73;0;0;0
4101;2022;6;186;0;0;0
4101;2022;9;323;0;0;0
4101;2022;12;468;0;0;0
4101;2023;3;88;0;0;0
4101;2023;6;317;0;0;0
4101;2023;9;529;0;0;0
4101;2023;12;798;0;0;0
4101;2024;3;228;0;0;0
4101;2024;6;382;0;0;0
4101;2024;9;602;0;0;0
4101;2024;12;835;0;0;0
4101;2025;3;182;0;0;0
4101;2025;6;314;0;0;3
4101;2025;9;454;0;0;10
4101;2025;12;666;0;0;11
4101;2026;3;150;0;0;1
27897;2014;9;0;0;0;0
27897;2014;12;2037;0;0;0
27897;2015;3;640;0;0;0
27897;2015;6;1672;39;0;0
27897;2015;9;2253;39;0;0
27897;2015;12;2716;80;0;0
27897;2016;3;158;0;0;0
27897;2016;6;340;0;0;0
27897;2016;9;601;1;0;0
27897;2016;12;822;1;0;0
27897;2017;3;19;0;0;0
27897;2017;6;44;0;0;0
27897;2017;9;66;0;0;0
27897;2017;12;113;0;0;0
27897;2018;3;26;0;0;0
27897;2018;6;27;0;0;0
27897;2018;9;28;0;0;0
27897;2018;12;28;0;0;0
27897;2019;3;0;0;0;0
27897;2019;6;0;0;0;0
27897;2019;9;0;0;0;0
27897;2019;12;0;0;0;0
27897;2020;3;0;0;0;0
27897;2020;6;0;0;0;0
27897;2020;9;0;0;0;0
