регистрационный_номер;наименование_СРО;дата_включения;дата_исключения;основание_исключения
9624;"Ассоциация Саморегулируемая организация ""Межрегиональный союз кадастровых инженеров""";30.06.2016;;
34341;"Саморегулируемая организация Ассоциация ""Некоммерческое партнерство ""Кадастровые инженеры юга""";26.11.2016;;
39688;"Саморегулируемая организация ""Ассоциация кадастровых инженеров Поволжья""";26.01.2021;;
16912;"Ассоциация ""Гильдия кадастровых инженеров""";28.06.2016;03.07.2023;Нарушение кадастровым инженером обязательных условий членства в СРО КИ
24915;"Саморегулируемая организация Союз ""Некоммерческое объединение кадастровых инженеров""";29.10.2016;;
33461;"Ассоциация саморегулируемая организация ""Балтийское объединение кадастровых инженеров""";25.03.2016;;
23120;"Ассоциация Саморегулируемая организация ""Объединение профессионалов кадастровой деятельности""";09.09.2015;;
4101;"Саморегулируемая организация Ассоциация ""Некоммерческое партнерство ""Кадастровые инженеры юга""";24.06.2016;;
27897;"Саморегулируемая организация Ассоциация ""Некоммерческое партнерство ""Кадастровые инженеры юга""";17.06.2016;31.08.2018;Нарушение кадастровым инженером срока уплаты членских взносов, более чем на три месяца
39333;"Саморегулируемая организация ""Ассоциация кадастровых инженеров Поволжья""";19.08.2016;;
32804;"Ассоциация саморегулируемая организация ""Объединение кадастровых инженеров""";12.07.2016;;
29102;"Саморегулируемая организация Союз кадастровых инженеров ""ФСИ""";15.12.2015;16.04.2018;Подача кадастровым инженером заявления о выходе из СРО КИ
29102;"Саморегулируемая организация Союз кадастровых инженеров ""ФСИ""";25.12.2015;17.04.2018;Подача кадастровым инженером заявления о выходе из СРО КИ
38281;"Ассоциация ""Союз кадастровых инженеров""";18.10.2017;;
38281;"Саморегулируемая организация Союз кадастровых инженеров ""ФСИ""";01.07.2016;16.10.2017;Подача кадастровым инженером заявления о выходе из СРО КИ
7473;"Ассоциация ""Саморегулируемая организация кадастровых инженеров""";31.05.2012;;
23295;"Ассоциация Саморегулируемая организация ""Объединение профессионалов кадастровой деятельности""";15.01.2013;;
6940;"Ассоциация Саморегулируемая организация ""Объединение профессионалов кадастровой деятельности""";09.01.2013;;
36104;"Ассоциация саморегулируемая организация ""Балтийское объединение кадастровых инженеров""";26.05.2016;;
6486;"Ассоциация ""Гильдия кадастровых инженеров""";27.05.2016;;
39448;"Ассоциация саморегулируемая организация ""Балтийское объединение кадастровых инженеров""";14.06.2019;;
26953;"Ассоциация Саморегулируемая организация ""Объединение профессионалов кадастровой деятельности""";21.02.2014;;
28012;"Саморегулируемая организация Ассоциация ""Некоммерческое партнерство ""Кадастровые инженеры юга""";05.07.2016;;
31473;"Ассоциация ""Саморегулируемая организация кадастровых инженеров""";30.06.2016;30.07.2018;Нарушение кадастровым инженером обязательных условий членства в СРО КИ
2741;"Саморегулируемая организация Ассоциация ""Объединение кадастровых инженеров""";13.02.2023;;
2741;"Ассоциация саморегулируемая организация ""Балтийское объединение кадастровых инженеров""";07.03.2018;02.02.2023;Подача кадастровым инженером заявления о выходе из СРО КИ
37495;"Ассоциация саморегулируемая организация ""Балтийское объединение кадастровых инженеров""";09.12.2016;;
17461;"Саморегулируемая организация Ассоциация ""Объединение кадастровых инженеров""";21.06.2016;;
28929;"Ассоциация ""Союз кадастровых инженеров""";31.05.2016;14.01.2019;Подача кадастровым инженером заявления о выходе из СРО КИ
28929;"Ассоциация ""Союз кадастровых инженеров""";13.11.2019;;
14548;"Ассоциация ""Союз кадастровых инженеров""";15.12.2017;;
14548;"Саморегулируемая организация Союз кадастровых инженеров ""ФСИ""";12.12.2013;11.12.2017;Подача кадастровым инженером заявления о выходе из СРО КИ
28571;"Ассоциация ""Саморегулируемая организация кадастровых инженеров""";30.05.2014;14.12.2021;Подача кадастровым инженером заявления о выходе из СРО КИ
726;"Саморегулируемая организация Ассоциация кадастровых инженеров ""Содружество""";10.06.2016;05.06.2020;Нарушение кадастровым инженером обязательных условий членства в СРО КИ
23699;"Саморегулируемая организация ""Ассоциация кадастровых инженеров Поволжья""";04.05.2021;;
23699;"Саморегулируемая организация ""Ассоциация кадастровых инженеров Поволжья""";22.07.2016;26.01.2020;Подача кадастровым инженером заявления о выходе из СРО КИ
